title,genres
apocolocyntosis,"{'21st-century', 'history', 'roman', 'classics', 'religion', 'novels', 'philosophy', 'fiction', 'literature', 'short-stories', 'politics', 'non-fiction', 'read-for-school', 'poetry', 'historical', 'humor'}"
the house on the borderland,"{'horror', 'mystery', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'paranormal', '20th-century', 'adult', 'speculative-fiction', 'supernatural', 'dark'}"
the warriors,"{'literary-fiction', 'history', 'biography', 'family', 'mythology', 'historical-fiction', 'non-fiction', 'historical', 'college', 'contemporary', 'high-school', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'essays', 'school', 'adult', 'read-for-school', 'american', 'feminism', 'classics', 'short-stories', 'adult-fiction', 'memoir', 'coming-of-age'}"
a voyage to the moon,"{'20th-century', 'science-fiction', 'speculative-fiction'}"
la fiammetta,"{'literary-fiction', 'history', 'feminism', 'classics', 'philosophy', 'fiction', 'literature', '20th-century', 'school', 'non-fiction', 'read-for-school', 'poetry', 'college'}"
carmilla,"{'romance', 'novella', 'historical-fiction', 'historical', 'horror', 'mystery', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'vampires', 'adult', 'school', 'classics', 'paranormal', 'short-stories', 'adult-fiction', 'dark', 'thriller', 'supernatural', 'lgbt'}"
the mystery,"{'literary-fiction', 'crime', 'mystery', 'classics', 'suspense', 'mystery-thriller', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult', 'unfinished', 'historical'}"
the mountains of california,"{'adventure', 'history', 'biography', 'classics', 'travel', 'literature', 'fiction', 'read-for-school', '20th-century', 'science', 'essays', 'memoir', 'non-fiction', 'unfinished', 'theology', 'american'}"
beneath the banner,{'classics'}
gaslight sonatas,"{'american', 'science-fiction'}"
the hunt ball mystery,"{'literary-fiction', 'crime', 'mystery', 'classics', 'mystery-thriller', 'novels', 'fiction', 'historical-fiction', 'non-fiction', 'historical'}"
complete poetical works,"{'classics', 'cookbooks', 'short-stories', 'fiction', 'non-fiction', 'relationships', 'poetry', 'college'}"
the magnetic north,{'historical-fiction'}
the works of aphra behn vol iii,"{'classics', 'literary-fiction'}"
alaska indian dictionary,"{'reference', 'non-fiction'}"
second year at annapolis,{'20th-century'}
billie bradley and her inheritance,"{'short-stories', 'childrens', 'mystery'}"
old lady mary,"{'classics', 'paranormal', 'fantasy', 'short-stories', 'adult-fiction', 'historical'}"
hell,"{'history', 'comics', 'historical-fiction', 'non-fiction', 'historical', 'horror', 'mystery', 'fantasy', 'novels', 'literature', 'graphic-novels', 'fiction', '20th-century', 'adult', 'unfinished', 'crime', 'classics', 'dark', 'thriller'}"
further experiences,{'classics'}
la vampire,"{'romance', 'adventure', 'contemporary', 'picture-books', 'teen', 'mystery', 'action', 'fantasy', 'paranormal', 'fiction', 'love', 'adult-fiction', 'young-adult', 'vampires', 'magic', 'supernatural', 'urban-fantasy', 'paranormal-romance'}"
hamburgische dramaturgie,"{'history', 'classics', 'reference', 'philosophy', '20th-century', 'essays', 'non-fiction', 'plays'}"
chinese literature,"{'literature', 'non-fiction'}"
